Fecha,GasLPab,Gasolina,Turbosina,Diesel,Combustóleo,Naftas,Otros,Importaciones
01/08/2018,50.68715051,587.5447216,54.13625806,226.9660232,25.88467742,8.648516129,3.911029355,957.7783763
01/09/2018,41.62294237,565.9480315,54.85396667,218.671099,20.12383333,17.98913333,3.230881667,922.4398878
01/10/2018,63.08509029,586.1918701,56.33883871,247.3330816,32.05845161,17.83158065,3.791779677,1006.630693
01/11/2018,81.14580454,614.135617,59.55653333,261.7869363,4.652566667,18.0123,1.586115667,1040.875874
01/12/2018,91.05941794,617.7277771,62.75147935,254.4660523,2.129967742,8.774548387,5.275537742,1042.184781
01/01/2019,64.94023204,513.4940104,61.74165452,194.5885074,9.418483871,26.39003226,2.083846129,872.6567666
01/02/2019,81.12778656,591.1607063,59.95661821,211.2652643,4.4225,19.2215,0.893960714,968.0483361
01/03/2019,50.81253458,542.1332472,58.7846129,197.1053961,15.54129032,18.13548387,2.210289032,884.7228541
01/04/2019,55.06273761,590.6620103,59.57473333,203.1361767,8.3632,9.317466667,2.604471333,928.7207959
01/05/2019,42.95914834,508.7488495,51.994,190.3514958,25.48177419,10.15406452,3.582368387,833.2717007
01/06/2019,48.51331825,555.5263076,44.1079,183.3804593,23.88586667,9.997066667,4.416419,869.8273376
01/07/2019,34.25527283,501.2878989,56.12422581,143.7149313,8.340645161,19.34274194,7.569961935,770.6356778
01/08/2019,31.2666828,494.1544048,53.78912903,157.6797226,15.4506129,19.33020806,5.537661613,777.2084218
01/09/2019,58.15877115,461.3186389,45.46376667,160.4615933,13.17393333,19.9926,7.318284667,765.8875881
01/10/2019,50.53929092,520.7090132,41.66,152.8345723,15.52348387,27.02870968,4.355347742,812.6504177
01/11/2019,65.61788091,530.1571009,57.5844,175.1744187,2.5864,8.980533333,4.555765333,844.6564991
01/12/2019,66.08591675,529.7713765,64.90758065,170.9754329,3.985096774,9.115193548,2.795158065,847.6357552
01/01/2020,73.50831163,495.3790674,54.74348387,149.2840935,19.23914548,26.02048387,5.877468065,824.0520538
01/02/2020,70.59916062,527.0058529,62.21268966,154.5825517,0,18.56868966,3.605442759,836.5743873
01/03/2020,83.49644654,483.4689887,45.71058065,169.2455384,2.005903226,17.84458065,5.431157419,807.2031955
01/04/2020,29.26941889,262.903994,8.948833333,122.9897653,7.794466667,26.98296667,4.915350667,463.8047955
01/05/2020,11.80229086,284.1600664,0,72.04878452,3.391129032,8.696,6.61823871,386.7165095
01/06/2020,15.81064862,242.9734932,3.0049,76.74093767,8.219166667,0,3.646827667,350.3959738
01/07/2020,27.18670665,380.747274,13.35074194,83.61845645,1.596677419,0,2.397375161,508.8972316
01/08/2020,46.20228748,406.4678325,13.39712903,115.6814368,4.698483871,0,1.510693871,587.9578635
01/09/2020,49.98148995,387.5127289,12.49023333,85.831367,2.0016,0,2.855437,540.6728561
01/10/2020,66.89884174,369.4911141,11.37119355,97.02775742,1.975,0,2.65541871,549.4193255
01/11/2020,69.73436605,439.4722316,15.527,115.1206913,0,0,4.779676,644.6339649
01/12/2020,92.12171137,387.4392564,21.47312903,128.4883965,0,0,3.603131935,633.1256252
01/01/2021,58.73646708,333.0477965,21.63496774,96.06292548,0,9.137967742,2.710173871,521.3302984
01/02/2021,58.67999647,288.7003752,17.95467857,66.19937929,0,10.09410714,3.5969475,445.2254841
01/03/2021,60.11909612,239.9565294,8.38016129,99.99301323,0,8.707225806,3.826450968,420.9824768
01/04/2021,72.78416072,359.813201,17.93226667,119.510536,0,9.163,3.884267667,583.087432
01/05/2021,42.35908823,380.8070626,30.61219355,140.6358981,0,8.88216129,3.422425161,606.7188289
01/06/2021,52.91274252,395.7799553,31.87193333,131.099917,0,8.3428,4.731484333,624.7388325
01/07/2021,57.27401187,405.0275758,47.90351613,121.7963758,0,0,4.179493871,636.1809735
01/08/2021,64.74468624,311.3343784,41.68641935,113.1676981,0,0,4.558505806,535.4916878
01/09/2021,89.78404881,309.1976337,35.72526667,64.665301,0,18.322,4.449102333,522.1433525
01/10/2021,77.8858348,312.1892184,36.7206129,73.74069645,0,0,5.42708871,505.9634513
01/11/2021,82.58430742,318.6005812,55.38903333,87.82783333,0,18.3529,6.309220333,569.0638756
01/12/2021,85.24997441,425.1238242,64.6073871,102.2943261,0,8.84383871,4.421114194,690.5404648
01/01/2022,61.49376403,353.7154577,53.75990323,94.79995806,0,0,3.647221935,567.416305
